poi_id,weight,infra_distance,observed_distance,trip_mode,tracker_id,journey_distance
163,0.00314465408805031447,2910,2900,BIKE,20239493,91720
200,0.00350877192982456140,3450,3400,FOOT,20217950,28000
230,0.00467289719626168224,1350,1400,FOOT,20236037,30190
81,0.00319488817891373802,780,780,FOOT,10082314,13080
234,0.02222222222222222222,880,880,FOOT,20252539,25950
178,0.00291545189504373178,400,400,FOOT,20239668,217840
263,0.00291545189504373178,400,400,FOOT,20239668,217840
143,0.01470588235294117647,5230,5200,BIKE,20239888,84090
178,0.00343642611683848797,450,450,FOOT,10078538,36190
178,0.00296735905044510386,800,800,FOOT,20039468,126440
31,0.00323624595469255663,26830,26800,CAR,20112410,77600
178,0.00617283950617283951,1480,1500,FOOT,20054406,35440
59,0.00278551532033426184,850,850,FOOT,20235820,246780
178,0.00278551532033426184,850,850,FOOT,20235820,246780
163,0.00862068965517241379,2930,2900,FOOT,20262296,55400
230,0.00574712643678160920,27670,27700,TRAIN,10055375,29640
163,0.00315457413249211356,5040,5000,BIKE,20129063,80670
184,0.00448430493273542601,1470,1500,BIKE,20224345,26700
184,0.00337837837837837838,2780,2800,FOOT,10039020,37110
230,0.00348432055749128920,1330,1300,FOOT,20275438,30800
178,0.00303951367781155015,980,980,FOOT,20097541,22260
163,0.00833333333333333333,3540,3500,TRAM,20275622,61900
208,0.00398406374501992032,4030,4000,TRAM,20273599,83000
152,0.00275482093663911846,2790,2800,FOOT,10030978,40560
163,0.00465116279069767442,2400,2400,FOOT,10014398,53700
253,0.00319488817891373802,3400,3400,BIKE,10082314,21890
230,0.01052631578947368421,3100,3100,BIKE,20277212,182000
146,0.00315457413249211356,1030,1000,FOOT,10013185,233180
146,0.00315457413249211356,1030,1000,FOOT,10013185,233180
59,0.00304878048780487805,1020,1000,FOOT,20028976,27700
178,0.00304878048780487805,1020,1000,FOOT,20028976,27700
178,0.00833333333333333333,1050,1000,BIKE,20275622,20500
41,0.00471698113207547170,310,310,FOOT,10040001,52810
163,0.00471698113207547170,310,310,FOOT,10040001,52810
178,0.00274725274725274725,830,830,FOOT,20181167,47030
166,0.00317460317460317460,17390,17400,TRAIN,10063822,28290
152,0.00384615384615384615,3130,3100,TRAM,10017422,87190
178,0.00520833333333333333,1210,1200,BIKE,10065817,21680
230,0.00413223140495867769,1190,1200,FOOT,20204211,14420
253,0.00313479623824451411,1630,1600,FOOT,20268808,43460
163,0.00420168067226890756,3290,3300,TRAM,20211535,45900
163,0.00757575757575757576,4420,4400,UNKNOWN,20237068,31530
129,0.00546448087431693989,1070,1100,FOOT,20265734,45900
158,0.00297619047619047619,15750,15800,CAR,10026054,84970
150,0.00406504065040650407,2190,2200,BIKE,20265344,62400
187,0.00400000000000000000,720,720,FOOT,20088242,73810
